Sentences,Type of Bias,Category of Bias
We'll make sure to provide you with any necessary accommodations to ensure your comfort.,None,None
We'll make sure to explain any dietary restrictions or recommendations.,None,None
It's important to follow any pre- and post-operative instructions provided by your healthcare provider.,None,None
We'll make sure to involve you in any decisions about pain management.,None,None
We understand that you may have concerns about the cost of care and we'll work with,None,None
We'll make sure to provide you with the appropriate vaccinations and immunizations.,None,None
Please let me know if you have any concerns about your mental health.,None,None
We'll make sure to provide you with any necessary referrals to other healthcare professionals.,None,None
It's important to practice good hygiene to prevent the spread of infection.,None,None
We'll make sure to involve you in any decisions about end-of-life care.,None,None
Please let me know if you have any concerns about your sexual health.,None,None
We'll make sure to respect your privacy and modesty throughout your care.,None,None
It's important to inform your healthcare provider of any changes in your health status.,None,None
We'll make sure to provide you with any necessary medical equipment or assistive devices.,None,None
Please let me know if you have any concerns about your vision or hearing.,None,None
We'll make sure to involve you in any decisions about alternative or complementary therapies.,None,None
It's important to practice good self-care to promote overall health and wellness.,None,None
We'll make sure to provide you with any necessary wound care or dressing changes.,None,None
Please let me know if you have any concerns about your sleep habits.,None,None
We'll make sure to provide you with any necessary referrals to community resources.,None,None
It's important to inform your healthcare provider of any medication changes or additions.,None,None
We'll make sure to involve you in any decisions about diagnostic imaging or laboratory testing.,None,None
Please let me know if you have any concerns about your mobility or physical function.,None,None
We'll make sure to provide you with any necessary nutritional support or counseling.,None,None
It's important to practice safe sex to prevent the spread of sexually transmitted infections.,None,None
We'll make sure to involve you in any decisions about fertility or family planning.,None,None
Please let me know if you have any concerns about your cognitive function or memory.,None,None
We'll make sure to provide you with any necessary education about chronic disease management.,None,None
It's important to inform your healthcare provider of any history of substance abuse or addiction.,None,None
We'll make sure to involve you in any decisions about rehabilitation or physical therapy.,None,None
Please let me know if you have any concerns about your dental health.,None,None
We'll make sure to provide you with any necessary genetic counseling or testing.,None,None
It's important to practice good mental health hygiene to promote emotional well-being.,None,None
We'll make sure to involve you in any decisions about surgical interventions or procedures.,None,None
Please let me know if you have any concerns about your reproductive health.,None,None
We'll make sure to provide you with any necessary education about pediatric care.,None,None
It's important to inform your healthcare provider of any family history of disease or illness.,None,None
